"행정구역","2024년06월_계_총인구수","2024년06월_계_연령구간인구수","2024년06월_계_0~9세","2024년06월_계_10~19세","2024년06월_계_20~29세","2024년06월_계_30~39세","2024년06월_계_40~49세","2024년06월_계_50~59세","2024년06월_계_60~69세","2024년06월_계_70~79세","2024년06월_계_80~89세","2024년06월_계_90~99세","2024년06월_계_100세 이상"
"서울특별시  (1100000000)","9,366,283","9,366,283","497,454","727,843","1,336,114","1,433,771","1,399,847","1,495,711","1,323,214","754,353","348,931","47,534","1,511"
"서울특별시 종로구 (1111000000)","139,189","139,189","5,706","9,621","21,440","19,564","18,776","23,644","20,941","11,679","6,731","1,044","43"
"서울특별시 종로구 청운효자동(1111051500)","11,190","11,190","561","1,047","1,364","1,494","1,822","1,910","1,432","911","551","92","6"
"서울특별시 종로구 사직동(1111053000)","8,977","8,977","450","624","1,043","1,445","1,400","1,460","1,249","706","502","92","6"
"서울특별시 종로구 삼청동(1111054000)","2,226","2,226","81","157","238","294","305","335","383","250","150","31","2"
"서울특별시 종로구 부암동(1111055000)","9,042","9,042","378","792","1,043","1,177","1,365","1,626","1,374","759","443","82","3"
"서울특별시 종로구 평창동(1111056000)","17,262","17,262","972","1,529","1,953","2,037","2,423","3,096","2,831","1,432","803","174","12"
"서울특별시 종로구 무악동(1111057000)","7,938","7,938","517","927","819","809","1,281","1,433","1,115","612","374","47","4"
"서울특별시 종로구 교남동(1111058000)","9,682","9,682","735","778","1,092","1,408","1,689","1,642","1,194","714","385","45","0"
"서울특별시 종로구 가회동(1111060000)","3,814","3,814","154","296","404","510","602","687","543","359","222","37","0"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,702","6,702","150","212","980","984","834","1,077","1,329","712","377","44","3"
"서울특별시 종로구 종로5.6가동(1111063000)","5,317","5,317","144","189","1,138","909","566","829","795","461","252","34","0"
"서울특별시 종로구 이화동(1111064000)","6,973","6,973","165","328","1,561","1,231","770","1,009","941","576","342","50","0"
"서울특별시 종로구 혜화동(1111065000)","15,936","15,936","480","1,220","4,336","2,044","1,836","2,326","1,746","1,076","754","112","6"
"서울특별시 종로구 창신제1동(1111067000)","4,482","4,482","102","172","516","603","482","824","1,002","505","248","28","0"
"서울특별시 종로구 창신제2동(1111068000)","7,451","7,451","156","323","911","908","775","1,632","1,527","769","398","52","0"
"서울특별시 종로구 창신제3동(1111069000)","6,328","6,328","283","412","796","901","797","1,173","1,093","539","288","46","0"
"서울특별시 종로구 숭인제1동(1111070000)","5,764","5,764","184","329","714","807","790","1,070","990","550","287","42","1"
"서울특별시 종로구 숭인제2동(1111071000)","10,105","10,105","194","286","2,532","2,003","1,039","1,515","1,397","748","355","36","0"
"서울특별시 중구 (1114000000)","121,475","121,475","5,444","6,095","17,246","21,338","16,629","18,989","18,452","10,647","5,708","901","26"
"서울특별시 중구 소공동(1114052000)","2,179","2,179","139","142","215","444","513","330","222","114","50","10","0"
"서울특별시 중구 회현동(1114054000)","4,360","4,360","159","199","414","530","523","783","920","520","261","49","2"
"서울특별시 중구 명동(1114055000)","2,588","2,588","53","119","330","346","341","454","478","283","150","33","1"
"서울특별시 중구 필동(1114057000)","4,306","4,306","128","201","805","870","523","579","616","332","204","46","2"
"서울특별시 중구 장충동(1114058000)","4,563","4,563","136","281","1,236","665","508","573","544","365","221","33","1"
"서울특별시 중구 광희동(1114059000)","5,811","5,811","121","184","1,208","1,270","664","742","858","508","230","26","0"
"서울특별시 중구 을지로동(1114060500)","3,124","3,124","136","76","409","956","464","368","394","209","101","11","0"
"서울특별시 중구 신당동(1114061500)","7,416","7,416","224","242","1,265","1,319","950","1,199","1,154","670","341","51","1"
"서울특별시 중구 다산동(1114062500)","13,155","13,155","420","669","1,994","2,166","1,695","2,139","2,096","1,221","663","91","1"
"서울특별시 중구 약수동(1114063500)","16,099","16,099","797","863","1,759","2,306","2,146","2,656","2,701","1,725","983","159","4"
"서울특별시 중구 청구동(1114064500)","12,872","12,872","612","710","1,553","2,161","1,607","2,115","2,095","1,205","706","103","5"
"서울특별시 중구 신당제5동(1114065000)","10,166","10,166","445","511","1,442","1,843","1,413","1,728","1,483","830","410","60","1"
"서울특별시 중구 동화동(1114066500)","9,923","9,923","558","718","1,112","1,295","1,364","1,806","1,674","825","482","88","1"
"서울특별시 중구 황학동(1114067000)","12,796","12,796","594","463","2,162","3,050","1,839","1,676","1,607","924","410","69","2"
"서울특별시 중구 중림동(1114068000)","12,117","12,117","922","717","1,342","2,117","2,079","1,841","1,610","916","496","72","5"
"서울특별시 용산구 (1117000000)","206,061","206,061","10,569","13,209","28,610","36,540","30,109","33,126","28,449","15,261","8,698","1,432","58"
"서울특별시 용산구 후암동(1117051000)","15,927","15,927","667","1,085","2,137","2,789","2,274","2,574","2,320","1,284","686","104","7"
"서울특별시 용산구 용산2가동(1117052000)","8,835","8,835","247","434","1,294","1,636","1,216","1,233","1,329","866","500","77","3"
"서울특별시 용산구 남영동(1117053000)","6,819","6,819","128","227","768","1,027","817","1,448","1,463","608","292","36","5"
"서울특별시 용산구 청파동(1117055500)","18,763","18,763","473","952","3,988","3,364","2,245","2,960","2,522","1,394","775","86","4"
"서울특별시 용산구 원효로제1동(1117056000)","16,989","16,989","1,089","926","2,822","4,222","2,638","2,184","1,810","858","379","60","1"
"서울특별시 용산구 원효로제2동(1117057000)","13,583","13,583","708","959","1,863","2,358","1,921","2,247","1,870","1,017","550","87","3"
"서울특별시 용산구 효창동(1117058000)","10,613","10,613","698","675","1,539","1,991","1,593","1,738","1,261","658","392","68","0"
"서울특별시 용산구 용문동(1117059000)","11,290","11,290","588","646","1,563","1,917","1,541","1,871","1,603","991","508","58","4"
"서울특별시 용산구 한강로동(1117062500)","20,883","20,883","1,198","931","3,124","4,869","2,827","3,150","2,711","1,268","690","109","6"
"서울특별시 용산구 이촌제1동(1117063000)","24,944","24,944","2,101","2,628","2,537","2,932","4,159","4,376","3,134","1,645","1,177","245","10"
"서울특별시 용산구 이촌제2동(1117064000)","7,806","7,806","406","435","813","1,299","1,113","1,264","1,273","738","386","77","2"
"서울특별시 용산구 이태원제1동(1117065000)","6,123","6,123","207","235","815","1,176","805","928","1,008","552","325","71","1"
"서울특별시 용산구 이태원제2동(1117066000)","8,730","8,730","320","412","1,181","1,704","1,322","1,256","1,190","754","506","82","3"
"서울특별시 용산구 한남동(1117068500)","14,546","14,546","927","911","1,637","2,612","2,450","2,327","1,936","1,097","547","101","1"
"서울특별시 용산구 서빙고동(1117069000)","12,578","12,578","649","1,380","1,553","1,471","2,158","2,174","1,666","794","614","113","6"
"서울특별시 용산구 보광동(1117070000)","7,632","7,632","163","373","976","1,173","1,030","1,396","1,353","737","371","58","2"
"서울특별시 성동구 (1120000000)","276,597","276,597","16,448","17,826","40,103","46,183","40,393","44,232","38,724","20,764","10,537","1,348","39"
"서울특별시 성동구 왕십리제2동(1120052000)","16,071","16,071","1,013","1,021","2,183","2,857","2,312","2,605","2,270","1,174","551","83","2"
"서울특별시 성동구 왕십리도선동(1120053500)","26,178","26,178","1,963","1,639","3,899","4,458","3,864","4,311","3,307","1,694","928","114","1"
"서울특별시 성동구 마장동(1120054000)","21,482","21,482","937","1,427","4,051","3,142","2,574","3,377","3,186","1,759","911","117","1"
"서울특별시 성동구 사근동(1120055000)","12,086","12,086","304","819","4,892","1,635","1,029","1,294","998","671","413","31","0"
"서울특별시 성동구 행당제1동(1120056000)","13,738","13,738","828","991","2,144","2,286","2,034","2,180","1,752","955","499","60","9"
"서울특별시 성동구 행당제2동(1120057000)","22,756","22,756","1,529","1,865","2,509","3,455","3,500","3,981","3,062","1,830","903","117","5"
"서울특별시 성동구 응봉동(1120058000)","14,831","14,831","934","1,455","1,616","2,067","2,541","2,532","1,860","1,112","642","72","0"
"서울특별시 성동구 금호1가동(1120059000)","14,705","14,705","1,050","1,027","1,481","2,310","2,463","2,338","2,160","1,210","579","86","1"
"서울특별시 성동구 금호2.3가동(1120061500)","21,812","21,812","1,521","1,240","2,398","3,789","3,497","3,527","3,074","1,746","891","121","8"
"서울특별시 성동구 금호4가동(1120062000)","14,096","14,096","1,167","921","1,269","2,324","2,565","2,126","1,960","1,130","561","69","4"
"서울특별시 성동구 옥수동(1120064500)","25,477","25,477","2,262","1,608","2,361","4,591","4,469","3,810","3,463","1,824","936","151","2"
"서울특별시 성동구 성수1가제1동(1120065000)","15,361","15,361","773","887","2,151","2,885","1,995","2,751","2,443","971","446","59","0"
"서울특별시 성동구 성수1가제2동(1120066000)","11,840","11,840","575","731","1,687","2,338","1,711","1,805","1,644","871","428","50","0"
"서울특별시 성동구 성수2가제1동(1120067000)","14,495","14,495","557","717","1,810","2,422","1,853","2,483","2,772","1,266","544","71","0"
"서울특별시 성동구 성수2가제3동(1120069000)","9,919","9,919","420","510","1,549","1,875","1,316","1,549","1,452","787","414","45","2"
"서울특별시 성동구 송정동(1120072000)","9,618","9,618","350","469","1,396","1,561","1,295","1,675","1,679","808","341","42","2"
"서울특별시 성동구 용답동(1120079000)","12,132","12,132","265","499","2,707","2,188","1,375","1,888","1,642","956","550","60","2"
"서울특별시 광진구 (1121500000)","334,159","334,159","14,592","23,456","58,062","55,088","47,192","52,935","45,967","24,038","11,284","1,494","51"
"서울특별시 광진구 화양동(1121571000)","23,201","23,201","302","695","10,234","4,770","2,001","1,948","1,623","1,055","515","56","2"
"서울특별시 광진구 군자동(1121573000)","18,919","18,919","626","942","4,136","3,434","2,429","2,598","2,575","1,401","707","68","3"
"서울특별시 광진구 중곡제1동(1121574000)","15,136","15,136","510","635","2,738","3,092","1,918","2,298","2,180","1,158","542","64","1"
"서울특별시 광진구 중곡제2동(1121575000)","20,314","20,314","779","1,214","3,251","3,622","2,728","3,301","3,057","1,627","661","73","1"
"서울특별시 광진구 중곡제3동(1121576000)","15,522","15,522","553","778","2,289","2,701","1,981","2,635","2,552","1,351","627","55","0"
"서울특별시 광진구 중곡제4동(1121577000)","27,494","27,494","992","1,625","3,807","4,117","3,475","5,055","4,736","2,506","1,054","121","6"
"서울특별시 광진구 능동(1121578000)","11,022","11,022","419","495","2,152","2,479","1,596","1,454","1,284","741","362","38","2"
"서울특별시 광진구 광장동(1121581000)","33,863","33,863","2,385","5,281","3,773","3,357","6,712","6,084","3,563","1,609","918","175","6"
"서울특별시 광진구 자양제1동(1121582000)","21,842","21,842","684","1,367","3,922","3,807","3,082","3,395","3,071","1,616","800","97","1"
"서울특별시 광진구 자양제2동(1121583000)","23,625","23,625","1,171","1,629","3,185","3,777","3,464","3,886","3,742","1,869","784","111","7"
"서울특별시 광진구 자양제3동(1121584000)","27,164","27,164","1,850","2,394","3,443","3,870","4,144","4,557","3,878","1,870","961","191","6"
"서울특별시 광진구 자양제4동(1121584700)","19,739","19,739","731","869","3,194","3,419","2,494","3,155","3,187","1,785","800","102","3"
"서울특별시 광진구 구의제1동(1121585000)","23,036","23,036","811","1,155","4,736","4,520","3,168","3,484","2,880","1,471","717","90","4"
"서울특별시 광진구 구의제2동(1121586000)","25,481","25,481","1,237","2,109","3,207","3,628","3,917","4,442","3,827","2,070","930","108","6"
"서울특별시 광진구 구의제3동(1121587000)","27,801","27,801","1,542","2,268","3,995","4,495","4,083","4,643","3,812","1,909","906","145","3"
"서울특별시 동대문구 (1123000000)","341,345","341,345","17,732","22,875","56,584","49,711","48,043","52,561","48,734","28,828","14,457","1,762","58"
"서울특별시 동대문구 용신동(1123053600)","38,643","38,643","1,910","1,903","7,034","7,085","5,485","5,693","5,083","2,766","1,507","171","6"
"서울특별시 동대문구 제기동(1123054500)","22,899","22,899","731","1,173","4,330","2,988","2,534","3,469","3,726","2,455","1,340","147","6"
"서울특별시 동대문구 전농제1동(1123056000)","32,959","32,959","1,943","2,177","5,023","4,701","4,811","5,423","4,805","2,556","1,339","175","6"
"서울특별시 동대문구 전농제2동(1123057000)","17,806","17,806","935","1,515","1,970","2,101","2,597","3,136","2,862","1,682","917","89","2"
"서울특별시 동대문구 답십리제1동(1123060000)","27,735","27,735","2,219","1,912","3,765","4,793","4,635","4,018","3,518","1,849","903","115","8"
"서울특별시 동대문구 답십리제2동(1123061000)","27,313","27,313","1,566","1,661","3,099","4,256","3,712","4,531","4,436","2,580","1,312","160","0"
"서울특별시 동대문구 장안제1동(1123065000)","37,387","37,387","2,029","2,517","4,778","5,965","6,028","5,796","5,635","3,224","1,256","151","8"
"서울특별시 동대문구 장안제2동(1123066000)","32,624","32,624","2,442","2,845","3,692","4,666","5,723","5,048","4,507","2,546","1,020","133","2"
"서울특별시 동대문구 청량리동(1123070500)","18,668","18,668","585","935","2,189","2,158","2,137","2,996","3,788","2,413","1,259","203","5"
"서울특별시 동대문구 회기동(1123071000)","10,388","10,388","297","738","3,448","1,511","1,143","1,199","959","631","405","54","3"
"서울특별시 동대문구 휘경제1동(1123072000)","13,745","13,745","638","818","3,721","2,064","1,602","1,900","1,476","948","508","67","3"
"서울특별시 동대문구 휘경제2동(1123073000)","24,284","24,284","922","1,929","5,831","3,092","3,070","3,554","2,976","1,910","889","108","3"
"서울특별시 동대문구 이문제1동(1123074000)","17,710","17,710","545","1,207","5,110","2,065","1,885","2,457","2,106","1,366","873","92","4"
"서울특별시 동대문구 이문제2동(1123075000)","19,184","19,184","970","1,545","2,594","2,266","2,681","3,341","2,857","1,902","929","97","2"
"서울특별시 중랑구 (1126000000)","381,126","381,126","18,432","23,663","48,839","58,039","52,451","64,342","63,840","34,143","15,390","1,930","57"
"서울특별시 중랑구 면목제2동(1126052000)","23,415","23,415","885","1,312","2,828","3,392","3,144","4,366","4,180","2,175","1,004","125","4"
"서울특별시 중랑구 면목제4동(1126054000)","18,022","18,022","810","1,091","2,129","2,471","2,589","3,189","2,967","1,894","796","83","3"
"서울특별시 중랑구 면목제5동(1126055000)","14,462","14,462","1,239","876","1,478","2,361","2,364","2,371","2,175","1,075","472","50","1"
"서울특별시 중랑구 면목본동(1126056500)","32,611","32,611","1,179","1,544","4,665","5,382","4,268","5,856","5,341","2,922","1,313","140","1"
"서울특별시 중랑구 면목제7동(1126057000)","21,101","21,101","1,001","1,060","2,615","3,292","2,802","3,537","3,724","2,078","872","118","2"
"서울특별시 중랑구 면목제3.8동(1126057500)","24,147","24,147","865","1,216","3,208","3,513","3,102","4,287","4,387","2,411","1,029","127","2"
"서울특별시 중랑구 상봉제1동(1126058000)","22,881","22,881","1,393","1,692","2,790","3,374","3,188","3,902","3,826","1,791","828","96","1"
"서울특별시 중랑구 상봉제2동(1126059000)","20,484","20,484","686","689","4,222","4,765","2,433","2,847","2,719","1,431","613","76","3"
"서울특별시 중랑구 중화제1동(1126060000)","18,550","18,550","860","1,138","2,272","2,932","2,532","2,965","3,262","1,773","741","73","2"
"서울특별시 중랑구 중화제2동(1126061000)","23,635","23,635","815","965","3,167","3,549","2,961","4,240","4,464","2,204","1,139","130","1"
"서울특별시 중랑구 묵제1동(1126062000)","33,436","33,436","1,660","2,874","4,547","4,576","5,011","5,529","4,929","2,869","1,285","152","4"
"서울특별시 중랑구 묵제2동(1126063000)","17,998","17,998","749","1,018","2,362","2,654","2,517","3,087","3,035","1,727","771","75","3"
"서울특별시 중랑구 망우본동(1126065500)","37,950","37,950","2,707","2,184","4,490","6,544","5,396","5,768","6,184","3,064","1,405","197","11"
"서울특별시 중랑구 망우제3동(1126066000)","15,559","15,559","524","837","1,884","1,972","1,952","2,970","3,030","1,560","705","124","1"
"서울특별시 중랑구 신내1동(1126068000)","37,390","37,390","2,105","3,777","4,121","4,537","5,488","6,128","6,221","3,256","1,517","231","9"
"서울특별시 중랑구 신내2동(1126069000)","19,485","19,485","954","1,390","2,061","2,725","2,704","3,300","3,396","1,913","900","133","9"
"서울특별시 성북구 (1129000000)","424,194","424,194","23,166","34,862","64,355","55,762","62,109","71,059","58,524","34,057","17,912","2,322","66"
"서울특별시 성북구 성북동(1129052500)","15,925","15,925","606","1,038","2,511","2,520","2,171","2,718","2,174","1,253","790","138","6"
"서울특별시 성북구 삼선동(1129055500)","22,043","22,043","765","1,624","4,162","3,064","2,901","3,760","2,884","1,708","1,050","119","6"
"서울특별시 성북구 동선동(1129057500)","15,057","15,057","380","896","4,721","2,408","1,706","1,896","1,462","934","577","74","3"
"서울특별시 성북구 돈암제1동(1129058000)","14,126","14,126","643","1,029","1,836","1,856","1,773","2,586","2,331","1,307","680","82","3"
"서울특별시 성북구 돈암제2동(1129059000)","23,401","23,401","1,580","2,573","2,674","2,723","3,847","4,383","3,074","1,567","827","150","3"
"서울특별시 성북구 안암동(1129060000)","15,037","15,037","342","810","5,639","2,020","1,361","1,876","1,468","912","525","82","2"
"서울특별시 성북구 보문동(1129061000)","16,142","16,142","926","980","2,627","2,767","2,286","2,694","2,080","1,147","557","76","2"
"서울특별시 성북구 정릉제1동(1129062000)","17,735","17,735","1,173","1,615","2,186","2,319","2,838","2,934","2,343","1,448","778","101","0"
"서울특별시 성북구 정릉제2동(1129063000)","22,320","22,320","1,183","1,570","2,947","2,964","3,076","3,826","3,507","2,044","1,070","132","1"
"서울특별시 성북구 정릉제3동(1129064000)","14,982","14,982","419","943","3,437","1,780","1,515","2,250","2,244","1,448","834","110","2"
"서울특별시 성북구 정릉제4동(1129065000)","24,023","24,023","1,153","1,940","3,097","2,878","3,476","4,271","3,671","2,232","1,154","147","4"
"서울특별시 성북구 길음제1동(1129066000)","35,210","35,210","2,857","5,032","3,529","3,715","7,141","6,023","3,569","2,112","1,098","131","3"
"서울특별시 성북구 길음제2동(1129068500)","21,402","21,402","1,961","2,068","2,418","2,760","3,841","3,661","2,606","1,396","606","83","2"
